title,UMAP1,UMAP2
"Isolation, Characterization, and Expression in Escherichia coli of the DNA Polymerase Gene from Thermus aquaticus",6.1998477,0.86118495
The ecology of viruses that infect eukaryotic algae,1.5317008,2.5354242
Low-redundancy sequencing of the entire Lactococcus lactis IL1403 genome,6.9798903,2.963492
"Distribution of sulfate-reducing bacteria in a stratified fjord (Mariager Fjord, Denmark) as evaluated by most-probable-number counts and denaturing gradient gel electrophoresis of PCR-amplified ribosomal DNA fragments",1.1231323,7.899443
Critical biogeochemical functions in the subsurface are associated with bacteria from new phyla and little studied lineages,1.0998988,5.2306705
Marine viruses — major players in the global ecosystem,2.364674,2.323996
Resource Control of Bacterial Dynamics in the Sea,-0.4536886,7.2818427
"Distribution of bacterioplankton in meromictic Lake Saelenvannet, as determined by denaturing gradient gel electrophoresis of PCR-amplified gene fragments coding for 16S rRNA",1.5389134,8.226433
Metabolic flexibility of enigmatic SAR 324 revealed through metagenomics and metatranscriptomics,0.3465151,5.248988
[5] Rapid and sensitive sequence comparison with FASTP and FASTA,10.2203665,7.9743257
Type VI secretion is a major virulence determinant in Burkholderia mallei,7.0213885,1.8633873
Nonparametric estimation of the number of classes in a population,2.6447911,6.8140235
Metagenomics and industrial applications,6.23878,5.501424
Relationships between Biovolume and Biomass of Naturally Derived Marine Bacterioplankton,3.2200506,10.960519
Flow Cytometric Analysis of Marine Bacteria with Hoechst 33342,3.0933948,10.968655
TETRA: a web-service and a stand-alone program for the analysis and comparison of tetranucleotide usage patterns in DNA sequences,7.8828783,9.683904
Using CRISPRs as a metagenomic tool to identify microbial hosts of a diffuse flow hydrothermal vent viral assemblage,0.8762774,3.0027974
Endosymbiotic theories for eukaryote origin,4.7836604,4.4667554
The Bacterial Origins of the CRISPR Genome-Editing Revolution,3.0313895,2.1156838
Bacterial community transcription patterns during a marine phytoplankton bloom,-0.155015,6.9665475
"Multidimensional metrics for estimating phage abundance, distribution, gene density, and sequence coverage in metagenomes",1.5111885,2.9595256
Ecological importance of cyanobacteria,-0.7639518,5.687379
Abundance of Viruses in Marine Waters: Assessment by Epifluorescence and Transmission Electron Microscopy,3.0894918,10.992081
The Histidine Protein Kinase Superfamily,5.5510564,0.70432514
A mutant sigma 32 with a small deletion in conserved region 3 of sigma has reduced affinity for core RNA polymerase,7.40156,1.8906051
Adsorption of Bacteriophages to Adhesions Between Wall and Membrane of Escherichia coli,5.1065197,0.6636303
Diverse uncultivated bacterial groups from soils of the arid southwestern United States that are present in many geographic regions,3.1112084,8.895479
"Nucleotide sequence and functional map of pE194, a plasmid that specifies inducible resistance to macrolide, lincosamide, and streptogramin type B antibodies",6.294135,1.22967
The genome sequence of Rickettsia prowazekii and the origin of mitochondria,2.8021293,3.7620654
Streptococcus pneumoniae Capsular Polysaccharide,5.735233,3.860267
Comparing sequences without using alignments: application to HIV/SIV subtyping,9.185031,9.587354
"IciA protein, a specific inhibitor of initiation of Escherichia coli chromosomal replication.",5.430306,0.5822551
"Primase, the dnaG protein of Escherichia coli. An enzyme which starts DNA chains.",5.65207,0.80787
Analysis of Nucleotide Sequences at 3' Termini of Duplex Deoxyribonucleic Acid with the Use of the T4 Deoxyribonucleic Acid Polymerase,6.074055,0.9895935
Novel Euryarchaeotal Lineages Detected on Rice Roots and in the Anoxic Bulk Soil of Flooded Rice Microcosms,3.233219,9.038737
Resistance to Co-Occurring Phages Enables Marine Synechococcus Communities To Coexist with Cyanophages Abundant in Seawater,-0.4091615,6.4032393
Biogeochemistry and microbial ecology of methane oxidation in anoxic environments: a review,-0.454859,5.258095
A Holoenzyme Form of Deoxyribonucleic Acid Polymerase III,6.418322,0.52684647
Five decades of N2 fixation research in the North Atlantic Ocean,-2.3819861,6.25509
Philosophy of experimental biology,6.7422695,5.3408275
"Kakusan4 and Aminosan: two programs for comparing nonpartitioned, proportional and separate models for combined molecular phylogenetic analyses of multilocus sequence data",9.828797,8.242811
High-Throughput Sequencing Technologies,7.188472,6.593233
Application of metagenomics in the human gut microbiome,-0.198229,10.105724
Spiroplasmas: evolutionary relationships and biodiversity,5.3608575,8.123063
Bacterial photosynthesis in surface waters of the open ocean,-1.4680064,6.200414
Absolute in vivo translation rates of individual codons in Escherichia coli,7.8240886,2.3074265
Gene Transfer by Transduction in the Marine Environment,3.0300725,10.751509
LESS IS MORE: SELECTIVE ADVANTAGES CAN EXPLAIN THE PREVALENT LOSS OF BIOSYNTHETIC GENES IN BACTERIA,7.7776046,2.4964707
Assembling large genomes with single-molecule sequencing and locality-sensitive hashing,8.47279,9.940675
Gene transfer to the nucleus and the evolution of chloroplasts,3.8514097,4.43772
A new logic for DNA engineering using recombination in Escherichia coli,6.300004,0.48737305
Preparation of Metagenomic Libraries from Naturally Occurring Marine Viruses,7.679276,8.0943
New Method for Large-Scale Preparation of Covalently Closed λ DNA Molecules,6.145795,0.33727682
"Enumeration of Phytoplankton, Bacteria, and Viruses in Marine Samples",7.62388,8.526188
Identification of four conserved motifs among the RNA-dependent polymerase encoding elements.,5.964562,1.2466599
The origins of bioinformatics,7.019348,6.2333875
Characterization of a mini-ColC1 plasmid,5.404771,0.6042825
"MetaBAT, an efficient tool for accurately reconstructing single genomes from complex microbial communities",7.288696,9.753902
Biomonitoring 2.0: a new paradigm in ecosystem assessment made possible by next‐generation DNA sequencing,5.024784,6.549833
Unexpected diversity of small eukaryotes in deep-sea Antarctic plankton,1.6745204,8.228537
Calculation of conformational ensembles from potentials of mena force,10.818813,5.188498
Introduction to Computational Molecular Biology,8.386486,8.493785
Kalign – an accurate and fast multiple sequence alignment algorithm,9.180651,10.068231
Expression of the psbDII gene in Synechococcus sp. strain PCC 7942 requires sequences downstream of the transcription start site,7.4019313,2.0082414
Complete enzymatic replication of plasmids containing the origin of the Escherichia coli chromosome.,5.520621,0.5602546
Lactic Acid Bacteria,9.369563,6.8947434
"Molecular structure of a gene, VMA1, encoding the catalytic subunit of H (+) -translocating adenosine triphosphatase from vacuolar membranes of Saccharomyces cerevisiae.",6.33508,1.9891064
Fitting a mixture model by expectation maximization to discover motifs in biopolymers.,10.224966,7.125415
Nitrogen fixation in the South Atlantic Gyre and the Benguela Upwelling System,-2.5606616,6.4555836
Indirect selection of bacterial plasmids lacking identifiable phenotypic properties,5.947556,0.67420775
Mutagenesis at a specific position in a DNA sequence.,6.422638,0.8368311
A Novel Sequence Element Derived from Bacteriophage T7 mRNA Acts as an Enhancer of Translation of the lacZ Gene in Escherichia coli,6.741307,1.5013764
Microbial Ecology of the Oceans,-0.6066399,5.801986
Rhythmicity of the intestinal microbiota is regulated by gender and the host circadian clock,-1.260342,9.544976
Antagonistic regulation of motility and transcriptome expression by RpoN and RpoS in Escherichia coli,7.580557,2.5223317
Application of denaturing gradient gel electrophoresis (DGGE) and temperature gradient gel electrophoresis (TGGE) in microbial ecology,1.1899415,7.5728645
Inferring Horizontal Gene Transfer,4.2812476,4.36353
Expanding the Biologist's Toolkit with CRISPR-Cas9,2.8801231,2.0692816
Analysis of Endonuclease R· Eco RI Fragments of DNA from Lambdoid Bacteriophages and Other Viruses by Agarose-Gel Electrophoresis,5.8760486,1.0235403
Complete sequence of the staphylococcal gene encoding protein A. A gene evolved through multiple duplications.,6.2679305,1.4012111
Chromosome partitioning in Escherichia coli: novel mutants producing anucleate cells,6.729104,1.3104768
Physiology and molecular phylogeny of coexisting Prochlorococcus ecotypes,0.43379968,6.8238215
Acidobacteria form a coherent but highly diverse group within the bacterial domain: evidence from environmental genomics,2.4082983,5.333793
"Detection, enumeration, and sizing of planktonic bacteria by image-analyzed epifluorescence microscopy",7.67363,9.712706
Immunochemical Detection and Isolation of DNA from Metabolically Active Bacteria,3.7055757,10.581337
"Effect of organic contamination upon microbial distributions and heterotrophic uptake in a Cape Cod, Mass., aquifer",-0.1254892,6.3784895
Metagenomic analysis of a high carbon dioxide subsurface microbial community populated by chemolithoautotrophs and bacteria and archaea from candidate phyla,0.61650276,5.0440235
Specific amplification of 18S fungal ribosomal genes from vesicular-arbuscular endomycorrhizal fungi colonizing roots,3.497588,9.09797
Isolation and Molecular Characterization of Five Marine Cyanophages Propagated on Synechococcus sp. Strain WH7803,1.5891412,4.801456
Prokaryotic toxin–antitoxin stress response loci,7.5372496,2.3656142
The deoxyribonucleic acid unwinding protein of Escherichia coli. Properties and functions in replication.,5.4644055,0.565473
Coiled Rings of DNA Released from Cells Infected with Bacteriophages T7 or T4 or from Uninfected Escherichia coli,5.206245,0.8607903
Bacterial and Archaeal Community Structure and its Patterns,0.80099297,7.604464
"Ammonia-Oxidising Archaea – Physiology, Ecology and Evolution",0.26071095,5.5868697
Microbial Control of Oceanic Carbon Flux: The Plot Thickens,-0.7974957,6.1697173
Physiological diversity and niche adaptation in marine Synechococcus,5.113354,5.746298
Amplification of bacterial 16S ribosomal DNA with polymerase chain reaction,5.8882046,10.0666485
Genomics and Metagenomics of Marine Prokaryotes,1.6915121,2.5743535
Comparative Protein Structure Modeling Using Modeller,10.470816,4.1022015
Comparative Protein Structure Modeling Using MODELLER,10.467359,4.102231
Comparative Protein Structure Modeling Using MODELLER,10.465633,4.1007247
