paper_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22
W2138060941,0.0019127,0.0145571,0.0009973,0.0018212,0.0009668,0.0221145,0.0538412,0.0008128,0.6841685,0.0013158,0.0209596,0.0011254,0.0005176,0.0006525,0.000647,0.0005589,0.0009359,0.1894519,0.000602,0.0004164,0.0003905,0.0008383,0.0003961
W2030498531,0.0867082,0.000801,0.1571424,0.0014973,0.1788025,0.0007087,0.0004964,0.0006697,0.2407861,0.0010848,0.0005604,0.0009273,0.0004265,0.0005376,0.1586111,0.0004605,0.0007711,0.0007268,0.0004961,0.0003431,0.1469782,0.0006907,0.0197734
W2047308649,0.0013398,0.0006813,0.0914488,0.0012776,0.4544939,0.2215368,0.0004222,0.0418027,0.1344778,0.016125,0.0004766,0.0007889,0.0003627,0.0004572,0.0004534,0.0003916,0.0006558,0.0006181,0.0004219,0.0002918,0.0002736,0.0005875,0.0306149
W4246016408,0.002008,0.001015,0.0010415,0.0019068,0.0010095,0.5600563,0.000629,0.0008486,0.0008495,0.2743544,0.0583328,0.0011749,0.0005404,0.0006812,0.0006755,0.0005835,0.0906123,0.0009209,0.0006286,0.0004348,0.0004077,0.0008752,0.0004135
W2053096433,0.009921,0.0004935,0.0005063,0.044755,0.1356912,0.0004366,0.0174463,0.0004126,0.000413,0.2574854,0.1054105,0.0005712,0.0002628,0.0003312,0.0003284,0.0072715,0.2977354,0.0627716,0.0003056,0.0002114,0.0001982,0.0004255,0.056616
W2143210482,0.0033052,0.0016935,0.0017375,0.2736892,0.001684,0.0014982,0.0010493,0.6373918,0.0014173,0.0022925,0.0011847,0.0019602,0.0009016,0.0011365,0.001127,0.0009735,0.0016301,0.0607239,0.0010486,0.0007254,0.0006802,0.0014602,0.0006899
W1989191870,0.0025174,0.0012868,0.0013202,0.0024082,0.0957033,0.0011386,0.0833997,0.0010759,0.001077,0.736333,0.0009003,0.0014894,0.0196247,0.0008637,0.0008564,0.0187975,0.0012388,0.0011675,0.0007969,0.0005512,0.0005169,0.0011096,0.025827
W2035387192,0.0332245,0.0008701,0.2407709,0.0408086,0.0008653,0.0007698,0.0005392,0.0007274,0.0955185,0.0011783,0.0288725,0.0010072,0.0004633,0.000584,0.0005791,0.0005002,0.0008376,0.0007894,0.0005388,0.5491012,0.0003495,0.0007503,0.0003545
W2111858111,0.0616783,0.0008298,0.0008514,0.001556,0.0008253,0.0007342,0.0005142,0.0006938,0.0006946,0.0011237,0.0005806,0.1908133,0.0208087,0.000557,0.3507148,0.0004771,0.0007989,0.2903398,0.0005139,0.0003555,0.0003333,0.0738679,0.0003381
W2136651963,0.0762818,0.0012868,0.0013202,0.9025589,0.0012798,0.0011386,0.0007974,0.0010759,0.0010771,0.0017431,0.0009003,0.0014896,0.0006852,0.0008637,0.0008564,0.0007398,0.0012388,0.0011676,0.0007969,0.0005513,0.0005169,0.0011097,0.0005243
W2019185456,0.0021332,0.0010875,0.0011159,0.0020241,0.0010816,0.0009623,0.0006739,0.0009093,0.0009103,0.2889564,0.0007609,0.0012589,0.1457189,0.1180406,0.0007238,0.0006252,0.3951446,0.0009868,0.0006735,0.0004659,0.0004368,0.0348665,0.0004431
W1987404007,0.00661,0.0033959,0.0034841,0.0063173,0.0033773,0.5173596,0.0021045,0.0028394,0.0028425,0.0045961,0.1491688,0.0039307,0.0018083,0.2387669,0.0022602,0.0019524,0.0032692,0.0030813,0.0021031,0.0014548,0.0013641,0.0029285,0.0349853
W2166865790,0.0999434,0.0006256,0.0006419,0.0011717,0.0006222,0.0005535,0.1594272,0.075222,0.0005236,0.1804105,0.2078524,0.0007244,0.0003331,0.0004199,0.0004164,0.0003597,0.0006023,0.2684491,0.0003874,0.000268,0.0002513,0.0005395,0.0002549
